ticker,date,score,signal,entry_price,comp_trend,comp_wyckoff,comp_vwap,comp_comparative_strength,comp_support_resistance,return_5d_pct,return_10d_pct,return_20d_pct
ALTO,2024-11-25,-30,pantau,1.4,0,0,-15,-15,0,2.86,7.14,16.43
ALTO,2024-12-03,-30,pantau,1.44,0,0,-15,-15,0,4.17,2.08,17.36
ALTO,2024-12-10,0,pantau,1.5,-30,0,15,15,0,-2.0,8.67,11.33
ALTO,2024-12-17,30,pantau,1.47,0,0,15,15,0,10.88,14.97,25.85
ALTO,2024-12-24,70,beli,1.63,30,10,15,15,0,3.68,2.45,4.91
ALTO,2025-01-02,60,beli,1.69,30,0,15,15,0,-1.18,9.47,-7.1
ALTO,2025-01-10,30,pantau,1.67,30,0,-15,15,0,10.78,2.4,-10.18
ALTO,2025-01-17,60,beli,1.85,30,0,15,15,0,-7.57,-15.14,-13.51
ALTO,2025-01-27,40,beli,1.71,30,0,-15,15,10,-8.19,-12.28,2.34
ALTO,2025-02-03,-30,pantau,1.57,0,0,-15,-15,0,-4.46,1.91,-8.28
ALTO,2025-02-10,-30,pantau,1.5,0,0,-15,-15,0,6.67,16.67,-6.67
ALTO,2025-02-18,10,pantau,1.6,0,0,15,-15,10,9.37,-10.0,-18.75
ALTO,2025-02-25,10,pantau,1.75,-30,0,15,15,10,-17.71,-20.0,-28.57
ALTO,2025-03-04,0,pantau,1.44,0,0,-15,15,0,-2.78,-9.72,-22.22
ALTO,2025-03-11,-30,pantau,1.4,0,0,-15,-15,0,-7.14,-10.71,-39.29
ALTO,2025-03-18,-30,pantau,1.3,0,0,-15,-15,0,-3.85,-13.85,-36.15
ALTO,2025-03-25,-30,pantau,1.25,0,0,-15,-15,0,-10.4,-32.0,-32.8
ALTO,2025-04-01,-65,jual,1.12,-30,0,-15,-15,-5,-24.11,-25.89,-19.64
ALTO,2025-04-08,-60,jual,0.85,-30,0,-15,-15,0,-2.35,-1.18,1.18
ALTO,2025-04-15,-60,jual,0.83,-30,0,-15,-15,0,1.2,8.43,8.43
ALTO,2025-04-23,-20,pantau,0.84,-30,0,15,-15,10,7.14,2.38,10.71
ALTO,2025-04-30,10,pantau,0.9,0,0,15,-15,10,-4.44,0.0,3.33
ALTO,2025-05-07,-20,pantau,0.86,0,0,-15,-15,10,4.65,8.14,9.3
ALTO,2025-05-14,10,pantau,0.9,0,0,15,-15,10,3.33,3.33,22.22
ALTO,2025-05-21,40,beli,0.93,0,0,15,15,10,0.0,1.08,21.51
ALTO,2025-05-29,10,pantau,0.93,0,0,-15,15,10,1.08,18.28,22.58
ALTO,2025-06-05,10,pantau,0.94,30,0,-15,-15,10,17.02,20.21,30.85
ALTO,2025-06-12,60,beli,1.1,30,0,15,15,0,2.73,3.64,14.55
ALTO,2025-06-20,30,pantau,1.13,30,0,-15,15,0,0.88,8.85,8.85
ALTO,2025-06-27,55,beli,1.14,30,0,15,15,-5,7.89,10.53,1.75
ALTO,2025-07-07,55,beli,1.23,30,0,15,15,-5,2.44,0.0,-16.26
ALTO,2025-07-14,55,beli,1.26,30,0,15,15,-5,-2.38,-7.94,-19.84
ALTO,2025-07-21,55,beli,1.23,30,0,15,15,-5,-5.69,-16.26,-14.63
ALTO,2025-07-28,-5,pantau,1.16,30,0,-15,-15,-5,-11.21,-12.93,-10.34
ALTO,2025-08-04,-35,pantau,1.03,0,0,-15,-15,-5,-1.94,1.94,9.71
ALTO,2025-08-11,-55,jual,1.01,-30,0,-15,-15,5,3.96,2.97,14.85
ALTO,2025-08-18,-35,pantau,1.05,0,0,-15,-15,-5,-0.95,7.62,12.38
ALTO,2025-08-25,-35,pantau,1.04,0,0,-15,-15,-5,8.65,11.54,5.77
ALTO,2025-09-02,25,pantau,1.13,0,0,15,15,-5,2.65,4.42,-4.42
ALTO,2025-09-09,35,pantau,1.16,0,10,15,15,-5,1.72,-5.17,-4.31
ALTO,2025-09-16,35,pantau,1.18,0,10,15,15,-5,-6.78,-8.47,-5.08
ALTO,2025-09-23,25,pantau,1.1,0,0,15,15,-5,-1.82,0.91,0.91
ALTO,2025-09-30,-35,pantau,1.08,0,0,-15,-15,-5,2.78,3.7,-1.85
ALTO,2025-10-07,-5,pantau,1.11,0,0,15,-15,-5,0.9,0.0,1.8
ALTO,2025-10-14,25,pantau,1.12,30,0,15,-15,-5,-0.89,-5.36,58.93
ALTO,2025-10-21,25,pantau,1.11,30,0,-15,15,-5,-4.5,1.8,83.78
ALTO,2025-10-28,-5,pantau,1.06,0,0,-15,15,-5,6.6,67.92,131.13
ALTO,2025-11-04,-5,pantau,1.13,0,0,15,-15,-5,57.52,80.53,147.79
ALTO,2025-11-11,30,pantau,1.78,0,0,15,15,0,14.61,37.64,40.45
ALTO,2025-11-18,30,pantau,2.04,0,0,15,15,0,20.1,37.25,27.94
ALTO,2025-11-25,30,pantau,2.45,0,0,15,15,0,14.29,2.04,25.71
ALTO,2025-12-03,30,pantau,2.8,0,0,15,15,0,-10.71,-6.79,-5.0
ALTO,2025-12-10,0,pantau,2.5,0,0,-15,15,0,4.4,23.2,-4.4
ALTO,2025-12-17,60,beli,2.61,30,0,15,15,0,18.01,1.92,3.45
ALTO,2025-12-24,60,beli,3.08,30,0,15,15,0,-13.64,-22.4,-13.31
ALTO,2026-01-02,30,pantau,2.66,30,0,-15,15,0,-10.15,1.5,-3.38
ALTO,2026-01-09,0,pantau,2.39,30,0,-15,-15,0,12.97,11.72,15.9
ALTO,2026-01-16,30,pantau,2.7,30,0,15,-15,0,-1.11,-4.81,-5.93
ALTO,2026-01-26,0,pantau,2.67,30,0,-15,-15,0,-3.75,3.75,-9.74
ALTO,2026-02-02,0,pantau,2.57,0,0,-15,15,0,7.78,-1.17,1.17
